id	lucode	luname	subitem
"1"	"0100"	田	"0"
"2"	"0200"	その他農用地	"0"
"3"	"0500"	森林	"0"
"4"	"0600"	荒地	"0"
"5"	"0700"	建物用地	"0"
"6"	"0901"	道路	"0"
"7"	"0902"	鉄道	"0"
"8"	"1000"	その他の用地	"0"
"9"	"1100"	河川地及び湖沼	"0"
"10"	"1400"	海浜	"0"
"11"	"1500"	海水域	"0"
"12"	"1600"	ゴルフ場	"0"
"13"	"0000"	解析範囲外	"0"
"14"	rice	作付面積	"1"
"15"	"20001"	普通畑、その他畑	"2"
"16"	"20002"	果樹	"2"
"17"	wheat	麦類	"15"
"18"	millet	雑穀	"15"
"19"	potato	いも類	"15"
"20"	bean	豆類	"15"
"21"	craft_crop	工芸農作物	"15"
"22"	veg_oa	露地野菜類	"15"
"23"	veg_gh	施設野菜類	"15"
"24"	flower_oa	露地花き類・花木	"15"
"25"	flower_gh	施設花き類・花木	"15"
"26"	other_oa	露地その他作物	"15"
"27"	other_gh	施設その他作物	"15"
"28"	orange_u	温州みかん	"16"
"29"	orange_o	その他かんきつ	"16"
"30"	apple	りんご	"16"
"31"	grape	ぶどう	"16"
"32"	pear_j	日本なし	"16"
"33"	pear_w	西洋なし	"16"
"34"	peach	もも	"16"
"35"	cherry	おうとう	"16"
"36"	biwa	びわ	"16"
"37"	persimmon	かき	"16"
"38"	chestnut	くり	"16"
"39"	ume	うめ	"16"
"40"	plum	すもも	"16"
"41"	kiwi	キウイフルーツ	"16"
"42"	pineapple	パインアップル	"16"
"43"	other_fruit	その他果樹	"16"
